Code;Preferred Term;Synonyms;Definition;Neoplastic Status;
C7419;Acanthoma;;A benign skin neoplasm composed of epithelial cells.;Benign;
C3173;Accelerated Phase Chronic Myeloid Leukemia, BCR-ABL1 Positive;Accelerated Phase CML ;A phase of chronic myeloid leukemia characterized by one or more of the following: 1) Myeloblasts accounting for 10-19% of the peripheral blood white cells or of the nucleated cells in the bone marrow, 2) peripheral blood basophils at least 20%, 3) persistent thrombocytopenia that is unrelated to therapy, 4) persistent thrombocytosis despite adequate therapy, 5) increasing white blood cell count and increasing spleen size unresponsive to therapy, and/or evidence of clonal evolution. (WHO, 2001);Malignant;
C45929;Acidophil Stem Cell Pituitary Neuroendocrine Tumor;Acidophil Stem Cell Adenoma ;An infrequent pituitary neuroendocrine tumor composed of cells showing immunoreactivity for prolactin and less often growth hormone. Electron microscopic studies reveal giant mitochondria, a finding not present in any other type of pituitary gland adenomas.;Undetermined;
C3768;Acinar Cell Carcinoma;Acinar Adenocarcinoma ;A malignant glandular epithelial neoplasm consisting of secretory cells forming acinar patterns. Representative examples include the acinar cell carcinoma of the pancreas and the acinar adenocarcinoma of the prostate gland.;Malignant;
C27018;Acquired Hemangioma;;A hemangioma that is not present at birth but develops later in life.;Benign;
C3148;Actinic Keratosis;Actinic (Solar) Keratosis ;A precancerous lesion of the skin composed of atypical keratinocytes. It is characterized by the presence of thick, scaly patches of skin. Several histologic variants have been described, including atrophic, acantholytic, hypertrophic, proliferative, lichenoid, bowenoid, and pigmented variants.;Precancerous;
C3164;Acute Basophilic Leukemia;Basophilic Leukemia ;A rare acute myeloid leukemia in which the immature cells differentiate towards basophils.;Malignant;
C6923;Acute Bilineal Leukemia;;An acute leukemia of ambiguous lineage in which there is a dual population of blasts with each population expressing markers of a distinct lineage (myeloid and lymphoid or B-and T-lymphocyte).  (WHO, 2001);Malignant;
C4673;Acute Biphenotypic Leukemia;;An acute leukemia of ambiguous lineage characterized by blasts which coexpress myeloid and T or B lineage antigens or concurrent B and T lineage antigens.  (WHO, 2001);Malignant;
C8923;Acute Erythroid Leukemia;Acute Erythroblastic Leukemia ;An acute myeloid leukemia characterized by a predominant immature erythroid population.  There are two subtypes recognized: erythroleukemia and pure erythroid leukemia. (WHO, 2001);Malignant;
C7464;Acute Leukemia of Ambiguous Lineage;Acute Leukemia of Indeterminate Lineage;An acute leukemia in which the blasts lack sufficient evidence to classify as myeloid or lymphoid or they have morphologic and/or immunophenotypic characteristics of both myeloid and lymphoid cells. (WHO, 2001);Malignant;
C3167;Acute Lymphoblastic Leukemia;Lymphoblastic Leukemia ;Leukemia with an acute onset, characterized by the presence of lymphoblasts in the bone marrow and the peripheral blood. It includes the acute B lymphoblastic leukemia and acute T lymphoblastic leukemia.;Malignant;
C121973;Acute Lymphoblastic Leukemia by Gene Expression Profile;ALL Gene Expression Cluster Subtype ;Gene expression-based patient cluster groups in acute lymphoblastic leukemia.;Malignant;
C121978;Acute Lymphoblastic Leukemia by ROSE Cluster;ALL Gene Expression Cluster ;Unique gene expression-based patient cluster groups in high-risk B-precursor acute lymphoblastic leukemia determined by Recognition of Outliers by Sampling Ends (ROSE).;Malignant;
C3170;Acute Megakaryoblastic Leukemia;Acute M7 Myeloid Leukemia ;An acute myeloid leukemia in which at least 50% of the blasts are of megakaryocytic lineage. (WHO, 2001);Malignant;
C7318;Acute Monoblastic and Monocytic Leukemia;Acute Monoblastic Leukemia and Acute Monocytic Leukemia ;Acute myeloid leukemia in which 80% or more of the leukemic cells are of monocytic lineage, including monoblasts, promonocytes, and monocytes. Bleeding disorders are common presenting features.;Malignant;
C7171;Acute Monoblastic Leukemia;Acute Monoblastic Leukemia (FAB M5a);An acute myeloid leukemia in which the monoblasts represent 80% or more of the total cellular population.  (WHO, 2001);Malignant;
C4861;Acute Monocytic Leukemia;Acute Monocytic Leukemia (FAB M5b) ;An acute myeloid leukemia in which the majority of monocytic cells are promonocytes.  (WHO, 2001);Malignant;
